,expert_effort_0,expert_effort_1,expert_effort_2,advanced_effort_0,advanced_effort_1,advanced_effort_2,intermediate_effort_0,intermediate_effort_1,intermediate_effort_2,beginner_effort_0,beginner_effort_1,beginner_effort_2,overall_distribution
count,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
mean,89.66309999999994,90.52889999999985,92.35179999999971,88.6346000000001,89.78400000000026,91.08260000000027,85.53139999999998,87.05269999999982,88.53280000000001,82.93510000000009,85.46850000000013,86.61179999999985,88.18144166666666
std,2.3161584318798076,2.228791013341306,1.800425515453847,2.8713033903263114,2.3939297712738767,2.2120942658185667,3.051251954319839,2.3302125694556457,2.29009926033461,3.6398391925729165,2.5339699260886976,2.1894395320615216,3.6402216071811138
min,84.0,82.96,87.37,80.16,84.0,83.51,75.92,79.86,82.1,72.6,79.78,80.99,72.6
25%,87.8575,90.0,90.38000000000001,87.0,87.8725,90.0,83.66,86.645,87.0,80.0,83.475,85.335,87.0
50%,90.0,90.0,93.0,89.16,90.0,91.225,87.0,87.0,88.78,83.0,87.0,87.0,87.965
75%,90.6575,93.0,93.20500000000001,90.0,91.42500000000001,93.0,87.0,87.65,90.0,86.34,87.0,87.0,90.0
max,93.17,94.06,95.52,93.92,93.68,94.66,90.0,93.0,93.0,93.0,90.0,90.0,95.52
